longitude,latitude,label
120.0,21.88,0
120.03,21.88,0
120.06,21.88,0
120.09,21.88,0
120.12,21.88,0
120.15,21.88,0
120.18,21.88,0
120.21,21.88,0
120.24,21.88,0
120.27,21.88,0
120.3,21.88,0
120.33,21.88,0
120.36,21.88,0
120.39,21.88,0
120.42,21.88,0
120.45,21.88,0
120.48,21.88,0
120.51,21.88,0
120.54,21.88,0
120.57,21.88,0
120.6,21.88,0
120.63,21.88,0
120.66,21.88,0
120.69,21.88,0
120.72,21.88,0
120.75,21.88,0
120.78,21.88,0
120.81,21.88,0
120.84,21.88,0
120.87,21.88,0
120.9,21.88,0
120.93,21.88,0
120.96,21.88,0
120.99,21.88,0
121.02,21.88,0
121.05,21.88,0
121.08,21.88,0
121.11,21.88,0
121.14,21.88,0
121.17,21.88,0
121.2,21.88,0
121.23,21.88,0
121.26,21.88,0
121.29,21.88,0
121.32,21.88,0
121.35,21.88,0
121.38,21.88,0
121.41,21.88,0
121.44,21.88,0
121.47,21.88,0
121.5,21.88,0
121.53,21.88,0
121.56,21.88,0
121.59,21.88,0
121.62,21.88,0
121.65,21.88,0
121.68,21.88,0
121.71,21.88,0
121.74,21.88,0
121.77,21.88,0
121.8,21.88,0
121.83,21.88,0
121.86,21.88,0
121.89,21.88,0
121.92,21.88,0
121.95,21.88,0
121.98,21.88,0
120.0,21.91,0
120.03,21.91,0
120.06,21.91,0
120.09,21.91,0
120.12,21.91,0
120.15,21.91,0
120.18,21.91,0
120.21,21.91,0
120.24,21.91,0
120.27,21.91,0
120.3,21.91,0
120.33,21.91,0
120.36,21.91,0
120.39,21.91,0
120.42,21.91,0
120.45,21.91,0
120.48,21.91,0
120.51,21.91,0
120.54,21.91,0
120.57,21.91,0
120.6,21.91,0
120.63,21.91,0
120.66,21.91,0
120.69,21.91,0
120.72,21.91,0
120.75,21.91,0
120.78,21.91,0
120.81,21.91,0
120.84,21.91,0
120.87,21.91,0
120.9,21.91,0
120.93,21.91,0
120.96,21.91,0
120.99,21.91,0
121.02,21.91,0
121.05,21.91,0
121.08,21.91,0
121.11,21.91,0
121.14,21.91,0
121.17,21.91,0
121.2,21.91,0
121.23,21.91,0
121.26,21.91,0
121.29,21.91,0
121.32,21.91,0
121.35,21.91,0
121.38,21.91,0
121.41,21.91,0
121.44,21.91,0
121.47,21.91,0
121.5,21.91,0
121.53,21.91,0
121.56,21.91,0
121.59,21.91,0
121.62,21.91,0
121.65,21.91,0
121.68,21.91,0
121.71,21.91,0
121.74,21.91,0
121.77,21.91,0
121.8,21.91,0
121.83,21.91,0
121.86,21.91,0
121.89,21.91,0
121.92,21.91,0
121.95,21.91,0
121.98,21.91,0
120.0,21.939999999999998,0
120.03,21.939999999999998,0
120.06,21.939999999999998,0
120.09,21.939999999999998,0
120.12,21.939999999999998,0
120.15,21.939999999999998,0
120.18,21.939999999999998,0
120.21,21.939999999999998,0
120.24,21.939999999999998,0
120.27,21.939999999999998,0
120.3,21.939999999999998,0
120.33,21.939999999999998,0
120.36,21.939999999999998,0
120.39,21.939999999999998,0
120.42,21.939999999999998,0
120.45,21.939999999999998,0
120.48,21.939999999999998,0
120.51,21.939999999999998,0
120.54,21.939999999999998,0
120.57,21.939999999999998,0
120.6,21.939999999999998,0
120.63,21.939999999999998,0
120.66,21.939999999999998,0
120.69,21.939999999999998,0
120.72,21.939999999999998,0
120.75,21.939999999999998,0
120.78,21.939999999999998,0
120.81,21.939999999999998,0
120.84,21.939999999999998,1
120.87,21.939999999999998,0
120.9,21.939999999999998,0
120.93,21.939999999999998,0
120.96,21.939999999999998,0
120.99,21.939999999999998,0
121.02,21.939999999999998,0
121.05,21.939999999999998,0
121.08,21.939999999999998,0
121.11,21.939999999999998,0
121.14,21.939999999999998,0
121.17,21.939999999999998,0
121.2,21.939999999999998,0
121.23,21.939999999999998,0
121.26,21.939999999999998,0
121.29,21.939999999999998,0
121.32,21.939999999999998,0
121.35,21.939999999999998,0
121.38,21.939999999999998,0
121.41,21.939999999999998,0
121.44,21.939999999999998,0
121.47,21.939999999999998,0
121.5,21.939999999999998,0
121.53,21.939999999999998,0
121.56,21.939999999999998,0
121.59,21.939999999999998,0
121.62,21.939999999999998,0
121.65,21.939999999999998,0
121.68,21.939999999999998,0
121.71,21.939999999999998,0
121.74,21.939999999999998,0
121.77,21.939999999999998,0
121.8,21.939999999999998,0
121.83,21.939999999999998,0
121.86,21.939999999999998,0
121.89,21.939999999999998,0
121.92,21.939999999999998,0
121.95,21.939999999999998,0
121.98,21.939999999999998,0
120.0,21.97,0
120.03,21.97,0
120.06,21.97,0
120.09,21.97,0
120.12,21.97,0
120.15,21.97,0
120.18,21.97,0
120.21,21.97,0
120.24,21.97,0
120.27,21.97,0
120.3,21.97,0
120.33,21.97,0
120.36,21.97,0
120.39,21.97,0
120.42,21.97,0
120.45,21.97,0
120.48,21.97,0
120.51,21.97,0
120.54,21.97,0
120.57,21.97,0
120.6,21.97,0
120.63,21.97,0
120.66,21.97,0
120.69,21.97,0
120.72,21.97,1
120.75,21.97,1
120.78,21.97,1
120.81,21.97,1
120.84,21.97,1
120.87,21.97,0
120.9,21.97,0
120.93,21.97,0
120.96,21.97,0
120.99,21.97,0
121.02,21.97,0
121.05,21.97,0
121.08,21.97,0
121.11,21.97,0
121.14,21.97,0
121.17,21.97,0
121.2,21.97,0
121.23,21.97,0
121.26,21.97,0
121.29,21.97,0
121.32,21.97,0
121.35,21.97,0
121.38,21.97,0
121.41,21.97,0
121.44,21.97,0
121.47,21.97,0
121.5,21.97,0
121.53,21.97,0
121.56,21.97,0
121.59,21.97,0
121.62,21.97,0
121.65,21.97,0
121.68,21.97,0
121.71,21.97,0
121.74,21.97,0
121.77,21.97,0
121.8,21.97,0
121.83,21.97,0
121.86,21.97,0
121.89,21.97,0
121.92,21.97,0
121.95,21.97,0
121.98,21.97,0
120.0,22.0,0
120.03,22.0,0
120.06,22.0,0
120.09,22.0,0
120.12,22.0,0
120.15,22.0,0
120.18,22.0,0
120.21,22.0,0
120.24,22.0,0
120.27,22.0,0
120.3,22.0,0
120.33,22.0,0
120.36,22.0,0
120.39,22.0,0
120.42,22.0,0
120.45,22.0,0
120.48,22.0,0
120.51,22.0,0
120.54,22.0,0
120.57,22.0,0
120.6,22.0,0
120.63,22.0,0
120.66,22.0,0
120.69,22.0,0
120.72,22.0,1
120.75,22.0,1
120.78,22.0,1
120.81,22.0,1
120.84,22.0,1
120.87,22.0,0
120.9,22.0,0
120.93,22.0,0
120.96,22.0,0
120.99,22.0,0
121.02,22.0,0
121.05,22.0,0
121.08,22.0,0
121.11,22.0,0
121.14,22.0,0
121.17,22.0,0
121.2,22.0,0
121.23,22.0,0
121.26,22.0,0
121.29,22.0,0
121.32,22.0,0
121.35,22.0,0
121.38,22.0,0
121.41,22.0,0
121.44,22.0,0
121.47,22.0,0
121.5,22.0,0
121.53,22.0,0
121.56,22.0,0
121.59,22.0,0
121.62,22.0,0
121.65,22.0,0
121.68,22.0,0
121.71,22.0,0
121.74,22.0,0
121.77,22.0,0
121.8,22.0,0
121.83,22.0,0
121.86,22.0,0
121.89,22.0,0
121.92,22.0,0
121.95,22.0,0
121.98,22.0,0
120.0,22.029999999999998,0
120.03,22.029999999999998,0
120.06,22.029999999999998,0
120.09,22.029999999999998,0
120.12,22.029999999999998,0
120.15,22.029999999999998,0
120.18,22.029999999999998,0
120.21,22.029999999999998,0
120.24,22.029999999999998,0
120.27,22.029999999999998,0
120.3,22.029999999999998,0
120.33,22.029999999999998,0
120.36,22.029999999999998,0
120.39,22.029999999999998,0
120.42,22.029999999999998,0
120.45,22.029999999999998,0
120.48,22.029999999999998,0
120.51,22.029999999999998,0
120.54,22.029999999999998,0
120.57,22.029999999999998,0
120.6,22.029999999999998,0
120.63,22.029999999999998,0
120.66,22.029999999999998,0
120.69,22.029999999999998,0
120.72,22.029999999999998,1
120.75,22.029999999999998,1
120.78,22.029999999999998,1
120.81,22.029999999999998,1
120.84,22.029999999999998,1
120.87,22.029999999999998,1
120.9,22.029999999999998,0
120.93,22.029999999999998,0
120.96,22.029999999999998,0
120.99,22.029999999999998,0
121.02,22.029999999999998,0
121.05,22.029999999999998,0
121.08,22.029999999999998,0
121.11,22.029999999999998,0
121.14,22.029999999999998,0
121.17,22.029999999999998,0
121.2,22.029999999999998,0
121.23,22.029999999999998,0
121.26,22.029999999999998,0
121.29,22.029999999999998,0
121.32,22.029999999999998,0
121.35,22.029999999999998,0
121.38,22.029999999999998,0
121.41,22.029999999999998,0
121.44,22.029999999999998,0
121.47,22.029999999999998,0
121.5,22.029999999999998,0
121.53,22.029999999999998,0
121.56,22.029999999999998,1
121.59,22.029999999999998,0
121.62,22.029999999999998,0
121.65,22.029999999999998,0
121.68,22.029999999999998,0
121.71,22.029999999999998,0
121.74,22.029999999999998,0
121.77,22.029999999999998,0
121.8,22.029999999999998,0
121.83,22.029999999999998,0
121.86,22.029999999999998,0
121.89,22.029999999999998,0
121.92,22.029999999999998,0
121.95,22.029999999999998,0
121.98,22.029999999999998,0
120.0,22.06,0
120.03,22.06,0
120.06,22.06,0
120.09,22.06,0
120.12,22.06,0
120.15,22.06,0
120.18,22.06,0
120.21,22.06,0
120.24,22.06,0
120.27,22.06,0
120.3,22.06,0
120.33,22.06,0
120.36,22.06,0
120.39,22.06,0
120.42,22.06,0
120.45,22.06,0
120.48,22.06,0
120.51,22.06,0
120.54,22.06,0
120.57,22.06,0
120.6,22.06,0
120.63,22.06,0
120.66,22.06,0
120.69,22.06,0
120.72,22.06,1
120.75,22.06,1
120.78,22.06,1
120.81,22.06,1
120.84,22.06,1
120.87,22.06,1
120.9,22.06,0
120.93,22.06,0
120.96,22.06,0
120.99,22.06,0
121.02,22.06,0
121.05,22.06,0
121.08,22.06,0
121.11,22.06,0
121.14,22.06,0
121.17,22.06,0
121.2,22.06,0
121.23,22.06,0
121.26,22.06,0
121.29,22.06,0
121.32,22.06,0
121.35,22.06,0
121.38,22.06,0
121.41,22.06,0
121.44,22.06,0
121.47,22.06,0
121.5,22.06,0
121.53,22.06,1
121.56,22.06,0
121.59,22.06,0
121.62,22.06,0
121.65,22.06,0
121.68,22.06,0
121.71,22.06,0
121.74,22.06,0
121.77,22.06,0
121.8,22.06,0
121.83,22.06,0
121.86,22.06,0
121.89,22.06,0
121.92,22.06,0
121.95,22.06,0
121.98,22.06,0
120.0,22.09,0
120.03,22.09,0
120.06,22.09,0
120.09,22.09,0
120.12,22.09,0
120.15,22.09,0
120.18,22.09,0
120.21,22.09,0
120.24,22.09,0
120.27,22.09,0
120.3,22.09,0
120.33,22.09,0
120.36,22.09,0
120.39,22.09,0
120.42,22.09,0
120.45,22.09,0
120.48,22.09,0
